City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,81.91,72.0,100.0,13.8,US,1717540758.0
1,ushuaia,-54.8,-68.3,33.46,93.0,75.0,3.44,AR,1717540561.0
2,bilibino,68.0546,166.4372,53.47,51.0,100.0,3.13,RU,1717540760.0
3,richards bay,-28.783,32.0377,62.31,42.0,0.0,5.35,ZA,1717540761.0
4,sucua,-2.4667,-78.1667,77.74,60.0,100.0,3.44,EC,1717540762.0
5,minas de barroteran,27.6333,-101.2833,104.58,24.0,0.0,12.1,MX,1717540763.0
6,tiksi,71.6872,128.8694,48.6,67.0,99.0,2.3,RU,1717540764.0
7,port mathurin,-19.6833,63.4167,73.56,67.0,95.0,21.3,MU,1717540765.0
8,nar'yan-mar,67.6713,53.087,38.1,99.0,97.0,10.0,RU,1717540767.0
9,manggar,-2.8833,108.2667,81.34,83.0,18.0,7.54,ID,1717540768.0
10,cabo san lucas,22.8909,-109.9124,90.61,45.0,0.0,8.05,MX,1717540294.0
11,angaur state,6.906,134.13,83.84,72.0,100.0,5.55,PW,1717540770.0
12,howard springs,-12.497,131.047,73.87,76.0,92.0,9.93,AU,1717540771.0
13,robertsport,6.7533,-11.3686,80.44,84.0,85.0,10.89,LR,1717540772.0
14,jamestown,42.097,-79.2353,81.99,50.0,40.0,6.91,US,1717540635.0
15,port-aux-francais,-49.35,70.2167,36.45,67.0,100.0,26.89,TF,1717540774.0
16,mabaruma,8.2,-59.7833,77.29,90.0,48.0,3.67,GY,1717540776.0
17,yellowknife,62.456,-114.3525,58.41,61.0,20.0,16.11,CA,1717540777.0
18,tumut,-35.3,148.2167,47.55,78.0,99.0,2.57,AU,1717540778.0
19,pinotepa nacional,16.3167,-98.0167,90.45,35.0,0.0,9.8,MX,1717540779.0
20,taiohae,,,,,,,,
21,puerto natales,-51.7236,-72.4875,29.59,89.0,99.0,1.99,CL,1717540781.0
22,dalandzadgad,43.5708,104.425,60.94,47.0,12.0,27.0,MN,1717540782.0
23,isafjordur,66.0755,-23.124,35.24,76.0,100.0,17.09,IS,1717540783.0
24,kodiak,57.79,-152.4072,49.51,76.0,100.0,5.75,US,1717540785.0
25,west island,-12.1568,96.8225,82.38,94.0,40.0,11.5,CC,1717540786.0
26,uturoa,-16.7333,-151.4333,81.45,81.0,50.0,13.0,PF,1717540787.0
27,mount pearl,47.5166,-52.7813,48.85,99.0,100.0,12.66,CA,1717540788.0
28,savino,56.5929,41.2181,61.48,96.0,98.0,6.11,RU,1717540789.0
29,dadonghai,,,,,,,,
30,crane,31.3974,-102.3501,101.03,5.0,84.0,18.25,US,1717540791.0
31,wailua homesteads,22.0669,-159.378,82.83,83.0,100.0,12.66,US,1717540793.0
32,waitangi,-43.9535,-176.5597,49.82,85.0,99.0,4.0,NZ,1717540794.0
33,ribeira grande,38.5167,-28.7,64.8,82.0,20.0,8.01,PT,1717540795.0
34,argo,37.6333,22.7333,79.03,37.0,4.0,4.03,GR,1717540796.0
35,sinabang,2.4803,96.3801,79.5,87.0,100.0,2.44,ID,1717540797.0
36,cochrane,51.1834,-114.4687,66.65,30.0,0.0,21.85,CA,1717540680.0
37,gamba,-2.65,10.0,73.06,87.0,18.0,5.19,GA,1717540799.0
38,utrik,11.2278,169.8474,82.53,81.0,96.0,19.48,MH,1717540800.0
39,aykhal,66.0,111.5,51.08,49.0,100.0,13.4,RU,1717540802.0
40,zlatna,46.1167,23.2167,57.81,95.0,93.0,4.56,RO,1717540803.0
41,buka,40.8108,69.1986,70.41,40.0,99.0,3.24,UZ,1717540804.0
42,mugia,43.1041,-9.2179,58.91,80.0,100.0,2.77,ES,1717540806.0
43,iskateley,67.6803,53.1512,38.01,99.0,95.0,10.0,RU,1717540807.0
44,bredasdorp,-34.5322,20.0403,61.09,88.0,100.0,21.03,ZA,1717540808.0
45,ahar,38.4774,47.0699,55.11,52.0,1.0,3.09,IR,1717540809.0
46,iqaluit,63.7506,-68.5145,33.53,93.0,100.0,6.91,CA,1717540748.0
47,raduzhny,62.0961,77.475,43.23,68.0,99.0,6.26,RU,1717540811.0
48,cholpon-ata,42.6494,77.0823,46.45,56.0,63.0,3.6,KG,1717540812.0
49,puerto ayora,-0.7393,-90.3518,78.76,96.0,83.0,1.99,EC,1717540813.0
50,uyskoye,54.3775,60.0047,59.58,88.0,100.0,3.87,RU,1717540814.0
51,sibiti,-3.6819,13.3499,67.59,93.0,13.0,2.33,CG,1717540816.0
52,allapalli,19.4167,80.0667,82.44,76.0,97.0,3.09,IN,1717540817.0
53,lebu,-37.6167,-73.65,55.47,86.0,94.0,19.93,CL,1717540818.0
54,blackmans bay,-43.0167,147.3167,48.52,96.0,58.0,1.01,AU,1717540819.0
55,horta,38.5333,-28.6333,64.04,86.0,20.0,8.01,PT,1717540820.0
56,grytviken,-54.2811,-36.5092,29.14,78.0,23.0,12.64,GS,1717540821.0
57,adamstown,-25.066,-130.1015,71.55,82.0,84.0,3.42,PN,1717540823.0
58,shiguai,40.7058,110.2856,54.9,94.0,100.0,6.55,CN,1717540824.0
59,roma,43.2128,-75.4557,84.34,37.0,0.0,3.44,US,1717540825.0
60,hami,42.8,93.45,63.88,26.0,62.0,13.02,CN,1717540748.0
61,edinburgh of the seven seas,-37.0676,-12.3116,58.89,73.0,93.0,16.67,SH,1717540827.0
62,bethel,41.3712,-73.414,79.36,64.0,20.0,9.22,US,1717540613.0
63,badger,64.8,-147.5333,71.98,40.0,75.0,6.91,US,1717540829.0
64,ilulissat,69.2167,-51.1,39.22,65.0,75.0,4.61,GL,1717540831.0
65,stanley,54.868,-1.6985,44.71,75.0,0.0,11.5,GB,1717540832.0
66,lihue,21.9789,-159.3672,83.44,79.0,100.0,12.66,US,1717540833.0
67,at taj,24.2049,23.2857,88.39,16.0,0.0,13.65,LY,1717540834.0
68,margaret river,-33.95,115.0667,62.6,79.0,62.0,12.01,AU,1717540835.0
69,st. john's,47.5649,-52.7093,49.68,99.0,100.0,12.66,CA,1717540709.0
